id;text;Support_Women;Defense_Women;Offense_Women;Defense_Against_Women
1;People say that being a feminist is a bad thing because they want power over men thatâ€™s not true itâ€™s being EQUAL to men. And feminist do not hate men they are talking about how they are treated compared to men it has nothing to do with hating them!;0;1;0;0
2;Honestly I think we are gonna have to fight for them again;0;0;0;0
3;When I was 8 years old I said â€œI want to be in the Military when I get olderâ€ my father laughed at me and said â€œYour a girl you were made to have kids and cook for your husbandâ€;0;0;1;0
4;"""There has never been nor shall there ever be a female master of Sinanju"". Grand Master Chiun";0;0;0.5;0
5;I don't get it, Elizabeth Cady Stanton led the feminist movement way before Susan Anthony became a leader but it seems more Attention is given to Anthony than Stanton.ðŸ˜•;0;0;0;0
6;Susanâ€™s B Anthony is a hero I love her quotes. â€œNo woman desires the bread of dependenceâ€;1;1;0;0
7;"Denial of equality... ""The denial of such equality perpetrates an injustice against one half of the worldâ€™s population and promotes in men harmful attitudes and habits that are carried from the family to the workplace, to political life, and ultimately to international relations. There are no grounds, moral, practical, or biological, upon which such denial can be justified."" ~ â€˜Abduâ€™l-BahÃ¡, Baha'i Faith";0;1;0;0
8;Some people just can't handle that there isn't anything for them to inherit in this world. Is it a matter or DNA or relationships?;0;0;0;0
9;Man this must have been so awkward.;0;0;0;0
10;I love you all so much;1;0;0;0
11;"In all the comment's here I see, ignorance. I see people that fed up with this popular internet propaganda. And without any research or knowledge throwing ""catch phrases"" that youtubers, comedians or other people repeat without knowing anything about feminism. I'll just say that If you think you are 100% right, then you're not thinking...";0;0;0;0
12;ola panas;0;0;0;0
13;Where's the mention of the White Feather Campaign? Tender Years Doctrine? SCUM Manifesto? This is leaving out really important parts.;0;0;0;0
14;Do you know In Tamil Nadu, India 2021 Assembly Elections, One party is fielding 50% Woman candidates. First in India. Can you talk about it if you are really in to woman rights.;0;0;0;0
15;Freedom of opportunity is the best way we can live, to be able to prove oneself only by merit is the only rational and logical course;0;0;0;0
16;Somehow sexism is seen as more acceptable than racism. You would never see any of these comments towards a Black rights video that these hateful men have wrote towards women on this video.;0;1;0;0
17;It breaks my heart, even if the USA still has problems regarding gender equality (example, how unprotected victims of sexual abuse are), it is MAGNITUDES better than most countries where women are beaten, abused, and seen as second class citizens. Like in Russia where domestic abuse is rampant, Japan where sexual assault is not taken seriously, Saudi Arabia where women literally have to depend on a man for all of their lifeâ€™s, and I could go on and on. On most countries, being a feminist is a red stamp on the forehead of a woman, marking her as crazy. Women donâ€™t deserve this, and it honestly makes me so sad.;1;1;0;0
18;YASSS love the first thing about women have children! WhERe MY independent women at??;1;0;0;0
19;Of fatih;0;0;0;0
20;As a black women I have to fight for Black Lives Matter and Women rights. Susan B Antony gave me hope.;0;0;0;0
21;Thou art the reason why thy kingdom suffers;0;0;0;0
22;And now we need to fight for equal fights;0;0;0;0
23;"Many Women, when being told about anything ""new"" are biased to perceive it as being about something in the future, and if anything negative, that it was intended to be a warning.";0;0;1;0
24;"This video seemed to be more about pro-abortion than anything else. It's titled ""The Fight For Women's Rights"".";0;0;0;0
25;I love this comment section, itâ€™s basically legalized murder vs the opposite;0;0;0;0
26;What's with the hate Edit: nevermind;0;0;0;0
27;So what I don't get is how women want it to be equal right? So how come some claim that women are better than men? I thought women just wanted equality not to be betterÉ;0;0.5;0.5;0
28;All the people in the comments are truly pathetic, I mean seriously youâ€™re upset because women have the right choose?;0;1;0;0
29;Trump: donâ€™t mind if I do.;0;0;0;0
30;"I used too play Game of Thrones, till I meet a mentally disturbed person. I make a terrible mistake too accept a player from that game too my personal FaceBook. He started too bother me soo much that I had too block him. After he started too create many accounts too bother me. In the game he told everybody bad things about me soo nobody talked too me. In his head, only he would talk with me. When I said things in the game chat, it was only him too answer. I quit that game because of him. I submited tickets too report him. GoT Devs did nothing. I quited cause that game wasn't fun anymore for me. When I watched on tv a publicity about the "" League of Legends "" game, I got interested. I stared playing LoL. And guess what, the mentally unbalanced person has there too. Bothering my game as before.  Creating many accounts too stalk and bother me. I reported too Riot. Guys, his sick person got a way too be a mod. Believe me, I'm telling the true. When I submitted a ticket too report him, he answerred me, "" we are working on it "" and then closed all my tickets soo others mods don't see it. I started playing VALORANT, but yes, he is there too. Guys, he is a hacker, because he does something, too always when I "" Queue"", he is there, he is in the party with other account, or even with 2 more accounts. The psychopath is stalking me virtually. I am writting this, and I will post in everywhere I can till someone can help me. I don't understand how a hacker works, but I""m sick of him stalking me, and I'm sick of Riot and GoT devs doing nothing. I am a young girl how live with parents. And there is a hacker stalking me. I am done with him. that is why I""m writing for all ya too know what is happening with me. I know in my country a man too stalk a girl is a crime. Can make u go too prison from 3 till 5 mouths. Now Stalking virtual isn't a crime yet ! But guys. I need help, soo I can play my game at peace. I am here writting what happened too me soo someone with a kind heart can help me. I beg for help, because I don't work, and all my free time is too play games. I will write this as many as I can soo it get in the ears of someone who can help me. I am a girl who is beening stalked by a old disgusting old man. A Hacker, a psychopath !!!! I will be waiting for someone who can help me get rid of him. Plz help me if you can...";0;1;0;0
31;now we have to fight for black rights. âœŠðŸ¾â¤ï¸ if people fought for women rights and succeed we can do this.;0;0;0;0
32;Well done. Just the smart thing to do, keep dividing and confusing us allðŸ‘ .. this is out of structure and order now.;0;0;0;0
33;Women got it easy these days;0;0;1;0
34;They finna get drafted now;0;0;0;0
35;What's rights do the fems not have ? If anything they have more then men;0;0;1;0
36;Sad this woman rights thing became a joke now;0;1;0;0
37;This video is a joke in case you guys didn't get it;0;0;0;0
38;yo who watching this cuz of school;0;0;0;0
39;Women were happier prior to feminism.;0;0;1;0
40;so since when has the right NOT to work BECOME not a RIGHT? UR DESTROYING WOMEN BY EMPOWERING THEM IN THE WRONG PLACE. ITS LIKE GIVING A CRIMINAL A GUN WHEN HES FACED WITH COPS. ITS DISGUSTING THAT IN THE 21ST CENTURY U HAVENT YET UNDERSTOOD WHAT HARM UR DOING TO WOMEN.;0;1;0;0
41;Womens rights! Lets go! time for EVERY able person to fight for USA ! WW3 is coming;1;0;0;0
42;Modern feminism be like Bruh;0;0;0;0
43;I would like to point out that if people are pro-life then there are actually better laws for them to change that would save lives. For example, organ transplants save lives. However, there aren't a lot of donors. Legally, you can't take life-saving organs from a dead body without their permission.;0;0;0;0
44;good old days;0;0;0;0
45;ha ha ha classic comedy;0;0;0;0
46;Why donâ€™t they want rights now???;0;0;0;0
47;alright this joke went to far;0;0;0;0
48;How change dislike from 96 to 98;0;0;0;0
49;The take feminists;0;0;0;0
50;hi;0;0;0;0
51;Man= women;0;1;0;0
52;They (women), want the best of both worlds.  They can't have it, sure courts are still in the favor of women but times will change and if they don't MEN will not keep the passive attitude.;0;0;1;1
53;I demand to see the man in charge;0;0;0;0
54;fortnite?;0;0;0;0
55;Why are most of the comments men? Yall have sad lives;0;0;0;0
56;It appears we are all just victims now!  Look at us wrong and were a victim!;0;0;0;0
57;1960s was more mature than this modern day garbage joke feminism.;0;0;1;0
58;It's been all down hill ever since.;0;0;0;0
59;When it all started;0;0;0;0
60;What's a woman?;0;0;1;0
61;I rather devote my life to my children than a corporation.;0;0;0;0
