id;text;Support_Women;Defense_Women;Offense_Women;Defense_Against_Women
1;"""If you berate your child they donâ€™t stop loving you, they stop loving themselves."";0;0;0;0";;;;
2;"""She wrote """"18 pages front and back""""  LOVE you Jennifer.. thank you for your awesome words"";1;0;0;0";;;;
3;"""This woman is so humble considering her career and even being known as a sex symbol, she has absolutely no ego. Itâ€™s great to see."";1;0;0;0";;;;
4;"My God Jennifer is way more sensitive loving and strong woman.;1;0;0;0";;;;
5;"""Surviving your twenties is really difficult. The show taught me that. I felt kind of isolated with all of my problems, because everything on social media is so flawless you feel like you're the only one that's truly struggling. Then you watch the show, and every person is constantly challenged and going through the same things. They all made it through. It kind of made me feel like all of my challenges were super normal, and that tomorrow would be another episode, or another day, of my life that I could make it through.;0;0;0;0";;;;
6;"€™s truly beautiful inside & out. Luv her!;1;0;0;0";;;;
7;"Itâ€™s really sad how people just simply  say mean words without even considering how it will impact the receiver emotions and feelings;1;0;0;0";;;;
8;"""Aww bless her, you can hear how nervous she was and how much this meant to her. And let's be honest she looks incredible. I love her heart and her quiet self deprecating class. She is amazing."";1;0;0;0";;;;
9;"she would have been such an incredible mom and she honestly is a mom figure for so many people. its awesome.;1;0;0;0";;;;
10;"""Such a powerful and amazing words! I was actually 16 years old but suffering from attempting suicide before I watch friends. I isolated myself and have literally not idea how my future will be, life sucks and I just hope ending myself will be the best choice. But after watching friends, it somehow gives me the courage and purpose to face my life again, I desire the friendship between all the friends and knowing that even no one was there for me, I still could believe thereâ€™s something on earth that will care about me. Itâ€™s such an inspiring shows that changed my life;1;0;0;0";;;;
11;"""""""So I carried that sentence with me into adulthood..."""""";0;0;0;0";;;;
12;"She shared vulnerably and authentically THAT takes real power!;1;0;0;0";;;;
13;"Jennifer Aniston has always been popular for to her authenticity and what a powerful empowering speech;1;0;0;0";;;;
14;"""She has somthing in her which attracts all of us to her,  Maybe a magnetic force. She is just mesmerising;1;0;0;0";;;;
15;"Jennifer Aniston looks on 34-35. Just Gorgeous !;1;0;0;0";;;;
16;"She's 50!? Holy shit! Looks amazing!;1;0;0;0";;;;
17;"""When I was young , my mom always made me feel that children shud be seen not heard, it made me shy of people with higher standing for a very long time , now I m still overcoming it"";0;0;0;0";;;;
18;"I just can't not love her. She is so gorgeousÉ;1;0;0;0";;;;
19;"""The way she said Hiiiiiii In the beginning.. just warms your heart! Some women are not UN ambassadors or renowned philanthropist, but they are by their actions.. when they talk they ooze kindness & warmth.. thatâ€™s all you need to be... Be Kind...Choose kindness everyday..thatâ€™s the biggest charity you can ever do to the world! Jennifer Aniston is that Woman!"";1;0;0;0";;;;
20;"She made me cry ðŸ˜­ She speaks so well! Glad we have strong females to look up to!!;1;0;0;0";;;;
21;"""A genuinely personal speech  -  Well done  Jen  -the truth, and real life experiences always resonate more with people"";1;0;0;0";;;;
22;"""It's ironic how Rachel from Friends wanted to name Emma """"Sawyer"""" when she and Ross were arguing over baby names. Ah the memories..."";0;0;0;0";;;;
23;"""Jennifer is such an incredible, strong and POWERFUL woman who makes the world a much better place"";1;0;0;0";;;;
