id;text;Support_Women;Defense_Women;Offense_Women;Defense_Against_Women
1;This needs more views! She explains the problems of both sides and does without any bias. Absolutely love her speech!;1;0;0;0
"2""Like it or not, she is spitting straight facts""";1;1;0;0;
3;I liked it: â€œWomen donâ€™t just become mothers â€“ people become parentsâ€ . Indeed, â€œdad confidenceâ€ and â€œdad guiltâ€ also do exist.;0;1;0;0
4;I, as a man, can only dream of a day when I have the same and equal reproductive and parental rights with a woman.;0;1;0;0
5;This makes so much sense. I look forward to seeing more discussion around addressing the needs of everyone in the workplace instead of being separated into different groups.;0;0;0;0
6;I think it is very important that men and women have the same opportunities regardless of their different abilities and skills, it is difficult to achieve but it all depends on people changing their perspectives on the opposite gender;0;1;0;0
7;thank f*ing god there is some sense;0;0;0;0
8;As a man I believe that one day we wonâ€™t be called sexist when a woman hurts you in a physical way;0;0;0.5;1
9;There are two types of people in our world. People who are old fashioned and People with modern values. Some of the old fashion people pretend to be into gender equality because they want more than they already get. For example women who demand that the men be providers while not having to do anything for the man (because equality). Closet old fashioned people confuse the issue. Then you have people who think they are for equality but then still have some old fashioned values. Equality just means you do unto others as they do unto you. It is all about individuality rather then basing who someone is on gender.;0;1;1;1
10;What a really fresh perspective on what could be a sensitive topic. I really enjoyed this talk. Thanks for sharing.;0;0;0;0
11;Boomers are getting smarter in politics;0;0;0;0
12;I think it has several points in favor, since it thinks in an equality way and that brings benefits for both mens and womens.;0;0;0;0
13;This issue is extremely important, since the reality of things is like that, the value of women and men are mutual, and in the workplace they are both of vital importance. We discuss this topic in class for this day;0;1;0;0
14;OMG a rational talk on gender!  It's probably a bit much to hope that someone will look into the law courts next and see the disparities there!;0;0;0;0
15;Entertaining, thought provoking and amusing. Also love them shoes x;0;0;0;0
16;Men and women are different.;0;0;1;0
17;Amazing talk;0;0;0;0
18;So important that this is on the agenda. I've seen the tension in action in some of my clients. and you're right  people become parents. Thought provoking and well delivered.;1;0;0;0
19;This talk touches on really important points of gender equality. It is crucial to say it out loud that as human beings we face the same struggles in life. But it is society that tells us how we should react and feel. As  Caroline said there's no difference in women's and men's confidence, mum's and dad's guilt. As members of the society we should acknowledge the issue and move forward.;0;1;0;0
20;Applaudable talk!;0;0;0;0
21;This is beautiful, thank you Caroline;1;0;0;0
