id;text;Support_Women;Defense_Women;Offense_Women;Defense_Against_Women
1;pov: you're here for your english argumentative essay;0;0;0;0
2;every human being must be treated equally.  gender inequality is real.  imagine the possibilities if all genders were treated equally,  if all children received proper education regardless of their gender. I think it would be a much advanced and prosperous world. think about it.;0;1;0;0
3;The sad thing is my own mom... she differences between me and her 2 sons. Those little things she does... its not something that big but when they start to happen everyday... its what hurts the most. My eldest brother shouts at my mom and she just gets scared of him instead of scolding him. These things made me feel suicidal. I tried to commit suicide 2 times by eating alot of sleeping pills but... somehow I woke up the next morning. There is just so much I would like to share but... its ok :'( BTW... I am only 15 y/o rn so plz ignore my grammar;0;0.5;1;0
4;MALALA IS  ICON. My class learnt about her and we are all only year 6 But this is great that we learn about this. It needs to be heard. 20 of the kids on my class are boys so this is wonderful. Spread woman rights.;1;1;0;0
5;This is the best comments section I have ever read a very entertaining 10 minutes;0;0;0;0
6;Equality should be in all levels Not only where it benefits female;0;0;0.5;1
7;its scary how the first thing men think of when it comes to equality is being able to hit women :);0;1;0;0
8;"â€œUntil you've gone through that process, I've come from Africa to tell you you don't qualify """;0;0;0;0
9;"found a lot of quotes that are goin on my ""quote board""";0;0;0;0
10;I'm a 25 girl, unmarried, and was very happy about this until I realized the down side.;0;0.5;0;0
11;I am 74-years old, and a retired rock musician, having toured the entire country.  I have lived through everything from the civil rights movement, to the Free Love and the LSD years of the Swingin' Sixties, to Women's Lib, and even burned my draft card during the Vietnam War, fully willing to face the consequences of that.  Many of my best friends are black, gay and lesbian. ;0;0;0;0
12;Equality is so important to all individuals to share their voice and talents to the world! Great message!;0;1;0;0
13;Can someone please tell me where to find the speech of malala?;0;0;0;0
14;Damn this was so true..... Until women were able to sexually harass guys like it's nothing and guys get brutally punished for doing the same thing;0;0.5;0.5;0.5
15;When you hear about all the feelings it is no wonder that men have constructed the world as women stayed home.     Each has a place.  Each has strengths and weaknesses.    Together they can be strong.  Separated they will destroy society.   That is the path we are on now.;0;0.5;1;0.5
16;Do you know In Tamil Nadu, India 2021 Assembly Elections, One party is fielding 50% Woman candidates. First in India. Can you talk about it if you are really in to woman rights.;0;1;0;0
17;"in my opinion, we are not working with social equality when we talk about work, opportunities, rights and others, because with a world so ""evolved"" we should have equality of simple things.  Women have already been neglected, demoted all because they were only born with a vagina, so from the same people we have 2 kidneys, 2 lungs, we have the same rights";0;1;0.5;0
18;It's sad how many comments are here belittling the suffering that women go through, refusing to acknowledge it.;0;1;0;0
19;No one should be treated differently no matter their gender, ethnicity, skin colour, or your sexuality. We're all human and we should all be treated equally. No one should be treated less than and everyone deserves the same rights. Yes people will always have different beliefs but when it comes to basic human rights and everyone being treated equally everyone should have the same opinion.;0;1;0;0
20;The first speeches are just emotional without any facts.;0;0;0;0
21;Lmao, âwomen are not treated as the same as men, in most cases even better than men.;0;0;1;1
22;Every person who speaks out against gender equality are the best;0;0;1;1
23;Everyone : Women's rights;0.5;0.5;0;0
24;Isn't it hypocritical for powerful women to lecture on these issues, the hypocrisy of the left;0;0;1;0
25;27;0;0;0;0
26;Everyone should have the same rights, it's like going back in to the 1930 and having  segregation. We should all have the same rights;0;1;0;0
27;So many of these women lost big time due to their ego and condescension.;0;0;1;0
28;If you're getting any kinda information from Hillary Clinton you're out of your mind;0;0;1;0
29;Emma Watson;0;0;0;0
30;Peace Love and Democracy;1;0;0;0
31;You go girls!!! Woaahhhh;1;0;0;0
32;Celibacy is key here boys;0;0;1;0
33;Today's women are the confusion of the highest orda;0;0;1;0
34;love this;1;0;0;0
35;EMMA WATSON!!;0;0;0;0
36;I speak a little English, I want to help you. I cannot remember my name or the name of my daughter or the city of protecting my daughter. I also protected myself. I left Africa after the death of a husband to Arab countries. I gave birth to my first daughter after my daughter was ten years old. I married an Arab man and had two children. My daughter lived with her father's family until she was thirteen years old   Then she lived with me;0;0;0;0
37;Men and women are equal!;0;1;0;0
38;Oh, so you got to be a woman to have rights that is fucked up, how about us men? Oh yeah that's right we get prison time for life;0;0;1;1
39;The grain of salt for taking this should be humongous: politicians and celebrities are well known to throw lot of BS.;0;0;1;0
40;It's not 'equally' that I want. What I want is  not treating one group of people better than another in society+ jobs, social groups/interactions, and so forth. I don't want to be the one most blamed in a court room for a crime like men tend to be- since woemn tend to be less likely judged or accused of a crime. I would rather us, male and female be different, and yet both men and females have a chance to be seen as people, not as dangerous/evil patriarchy, or as pretty obedience props. I think there is just prejudice against all groups of people no matter who you are, so I tend to struggle with feminism. ;0;0.5;1;1
41;We really need more female lumberjacks and brick layers.  Make it happen ladies!!;1;1;0;0
42;According to these prominent , very successful women, it would appear that women can't catch a break ever.0;0.5;0.5;0;
43;And that was an 2 minute message from our representatives of HELL;0;0;1;0
44;Same right same fight, right?;0;0;0;0
45;All women make way more money then me. So....now what?;0;0;0;1
46;Look I know you wanna promote women's rights. But you can't just delete a video and then try reuploading it when there's more dislikes and likes hoping it won't happen again.;0;0;0;0
47;0:26 oh my god;0;0;0;0
48;I am not even sure if this is sarcasm or not.;0;0;0;0
49;I'm still waiting for women to built a city and their own economy but I'm 44yo Im guessing I won't see it;0;0;1;0
50;1:45 technically if we (man) don't have a say in it then thats not true equality it's very close but not all the way there;0;0;0.5;1
51;My point of view on this and story: https://www.youtube.com/watch?v=E0HRvkRTePs;0;0;0;0
